Title,Studio,Genre,Rating,Release Date,DTR,Day of Week,OBO,Organic Conversation,Organic Intent,Humor,Group Dynamic,Paid Push,Twitter Mentions,Facebook PTAT,Wikipedia Desktop,Wikipedia All,YouTube Views,Theater Count,Holiday
Gods of Egypt,Lionsgate Films,Action Adventure,PG-13,2/26/2016,1,Fri,14123903,5504,599,289,50,625,8509,64584,633097,1128413,34967347,3117,
Triple 9,Open Road Films,Action Drama,R,2/26/2016,1,Fri,6109085,1445,200,141,10,144,2057,33133,291145,524035,5881266,2205,
London Has Fallen,Focus Features,Action Drama,R,3/4/2016,1,Fri,21635601,2580,365,185,21,146,2914,59264,453776,968225,10955339,3490,
Whiskey Tango Foxtrot,Paramount,Human Interest Comedy,R,3/4/2016,1,Fri,7443007,2464,177,330,16,118,3016,27882,207218,367541,6175620,2374,
Zootopia,Disney,Family,PG,3/4/2016,1,Fri,75063401,15354,1925,1818,92,836,37135,159995,766272,1279115,25810934,3827,
10 Cloverfield Lane,Paramount,Suspense/Thriller,PG-13,3/11/2016,1,Fri,24727437,6930,891,368,44,84,9094,33071,963770,2704568,18323494,3391,
The Brothers Grimsby,Sony Pictures,Action Comedy,R,3/11/2016,1,Fri,3258327,3446,138,275,4,181,6412,67243,343056,700054,17423786,2235,
The Perfect Match,Lionsgate Films,Romantic Comedy,R,3/11/2016,1,Fri,4294232,1064,186,47,15,36,1307,NA,25908,NA,NA,925,
The Young Messiah,Focus Features,Human Interest Drama,PG-13,3/11/2016,1,Fri,3294876,392,78,26,3,36,382,119788,85513,NA,NA,1761,
Miracles from Heaven,Sony Pictures,Human Interest Drama,PG,3/16/2016,1,Wed,14812393,1708,356,175,22,452,3386,367138,305122,948265,6173312,3047,
The Bronze,Sony Pictures Classics,Human Interest Comedy,R,3/18/2016,1,Fri,386328,NA,NA,NA,NA,NA,NA,9154,86580,NA,NA,1167,
The Divergent Series: Allegiant,Lionsgate Films,Action Drama,PG-13,3/18/2016,1,Fri,29027348,24691,4268,1506,345,4028,44459,156958,465110,1036177,8024811,3740,
Batman V Superman: Dawn of Justice,Warner Bros.,Action Adventure,PG-13,3/25/2016,1,Fri,166007347,209311,22564,6718,1879,22600,446412,482139,2828643,5910030,280819759,4242,
My Big Fat Greek Wedding 2,Universal,Romantic Comedy,PG-13,3/25/2016,1,Fri,17861950,4609,838,381,66,1242,8710,264638,281699,644666,9471862,3133,
God's Not Dead 2,Pure Flix Entertainment,Human Interest Drama,PG,4/1/2016,1,Fri,7623662,1912,226,94,20,426,2236,1029446,75193,129503,110018,2419,
Meet the Blacks,Freestyle Releasing,Zany Comedy,R,4/1/2016,1,Fri,4055940,455,89,103,12,91,1213,96658,22326,40401,3314759,1015,
Demolition,Fox Searchlight Pictures,Human Interest Drama,R,4/8/2016,1,Fri,1098290,NA,NA,NA,NA,NA,NA,12416,131530,NA,NA,854,
Hardcore Henry,STX Entertainment,Action Drama,R,4/8/2016,1,Fri,5107604,2394,320,113,22,365,3828,64252,265341,556518,25376002,3015,
The Boss,Universal,Human Interest Comedy,R,4/8/2016,1,Fri,23586645,18134,2931,2190,191,497,13453,273459,198085,NA,NA,3480,
Barbershop: The Next Cut,Warner Bros.,Human Interest Comedy,PG-13,4/15/2016,1,Fri,20242415,4068,742,615,212,787,10937,388187,137182,252883,9657586,2661,
Criminal (2016),Lionsgate Films,Action Drama,R,4/15/2016,1,Fri,5767278,NA,NA,NA,NA,NA,NA,96553,216799,NA,NA,2683,
The Jungle Book (2016),Disney,Family,PG,4/15/2016,1,Fri,103261464,33420,7114,1418,875,1696,64977,465989,1183252,2478767,54857628,4028,
The Huntsman: Winter's War,Universal,Action Adventure,PG-13,4/22/2016,1,Fri,19445035,9256,1080,379,77,2305,29042,447673,472797,1179354,40080894,3791,
Keanu,Warner Bros.,Zany Comedy,R,4/29/2016,1,Fri,9453224,3188,396,630,26,178,4557,75137,210698,394309,5987736,2658,
Mother's Day (2016),Open Road Films,Human Interest Comedy,PG-13,4/29/2016,1,Fri,8369184,9312,1325,779,59,800,13242,42884,218306,NA,NA,3035,
Ratchet & Clank,Focus Features,Family,PG,4/29/2016,1,Fri,4869278,3485,312,181,24,111,6082,50069,299722,496617,4760672,2891,
Captain America: Civil War,Disney,Action Adventure,PG-13,5/6/2016,1,Fri,179139142,252214,23323,8575,883,18463,459811,595020,4193685,8901313,295510372,4226,
Money Monster,Sony Pictures,Suspense/Thriller,R,5/13/2016,1,Fri,14788157,3280,294,309,24,2206,6940,13141,219890,427338,9222709,3104,
The Darkness (2016),High Top Releasing,Horror,PG-13,5/13/2016,1,Fri,4950859,3123,110,268,27,45,3223,167804,70274,126225,1191584,1755,Friday the 13th
Neighbors 2: Sorority Rising,Universal,Human Interest Comedy,R,5/20/2016,1,Fri,21760405,8107,1467,1761,161,523,12243,169042,501511,965100,44386957,3384,
The Angry Birds Movie,Sony Pictures,Family,PG,5/20/2016,1,Fri,38155177,8962,1115,757,92,762,12873,149890,406677,731380,85389125,3932,
The Nice Guys,Warner Bros.,Action Comedy,R,5/20/2016,1,Fri,11203270,2570,347,604,29,545,4127,20296,292018,496462,15433253,2865,
Alice Through the Looking Glass,Disney,Family,PG,5/27/2016,1,Fri,26858726,45904,3338,1451,122,764,40944,682182,735557,1334613,27547280,3763,Memorial Day
X-Men: Apocalypse,20th Century Fox,Action Adventure,PG-13,5/27/2016,1,Fri,65769562,76713,10831,4469,686,3639,111644,274687,2990101,5978866,164227982,4150,Memorial Day
Love & Friendship,Roadside Attractions,Romantic Drama,PG,6/3/2016,1,Fri,2139663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,819,
Me Before You,Warner Bros.,Romantic Drama,PG-13,6/3/2016,1,Fri,18723269,15526,2176,643,218,1371,38044,292252,509682,1080794,33462713,2704,
Popstar: Never Stop Never Stopping,Universal,Zany Comedy,R,6/3/2016,1,Fri,4698715,2712,218,1289,14,134,7628,78092,200639,315100,17669356,2311,
Teenage Mutant Ninja Turtles: Out of the Shadows,Paramount,Family,PG-13,6/3/2016,1,Fri,35316382,25033,3595,1747,198,1166,31468,149399,674013,1221296,25922660,4071,
Now You See Me 2,Lionsgate Films,Action Adventure,PG-13,6/10/2016,1,Fri,22383146,4164,856,414,77,1084,6966,193007,590604,1248059,27298850,3232,
The Conjuring 2,Warner Bros.,Horror,R,6/10/2016,1,Fri,40406314,9035,2309,1220,602,1259,12106,644846,518444,1372442,32281522,3343,
Warcraft,Universal,Action Adventure,PG-13,6/10/2016,1,Fri,24166110,38026,3860,1299,271,1646,56827,225049,1312459,2241934,35182498,3400,
Central Intelligence,Warner Bros.,Action Comedy,PG-13,6/17/2016,1,Fri,35535250,4718,566,798,29,396,13632,128737,163872,310416,33825916,3508,
Finding Dory,Disney,Family,PG,6/17/2016,1,Fri,135060273,25938,5062,1682,882,1804,86533,462017,758901,1455328,30538749,4305,
Free State of Jones,STX Entertainment,Human Interest Drama,R,6/24/2016,1,Fri,7572206,1392,197,78,6,64,1258,22276,372059,924383,7942948,2815,
Independence Day: Resurgence,20th Century Fox,Action Adventure,PG-13,6/24/2016,1,Fri,41039944,13571,1507,1165,93,718,17037,263706,982894,1944870,67188131,4130,
The Neon Demon,Broad Green Pictures,Horror,R,6/24/2016,1,Fri,589014,3085,241,245,17,103,4089,216468,377840,NA,NA,783,
The Shallows,Sony Pictures,Suspense/Thriller,PG-13,6/24/2016,1,Fri,16800868,3067,553,252,181,280,3691,269884,329095,854040,26666384,2962,
Swiss Army Man,A24 Films,Human Interest Comedy,R,7/1/2016,1,Fri,1414751,3168,371,288,28,100,4409,156855,386845,707105,26390742,636,Independence Day
The BFG,Disney,Family,PG,7/1/2016,1,Fri,18775350,4971,595,431,68,988,11597,97186,514198,942732,22869656,3357,Independence Day
The Legend of Tarzan,Warner Bros.,Action Adventure,PG-13,7/1/2016,1,Fri,38527856,8435,1291,569,76,2671,12878,186663,579293,1128174,61264472,3561,Independence Day
The Purge: Election Year,Universal,Suspense/Thriller,R,7/1/2016,1,Fri,31515110,12658,2817,1015,648,1212,20746,673833,469522,973127,20910099,2796,Independence Day
Mike & Dave Need Wedding Dates,20th Century Fox,Zany Comedy,R,7/8/2016,1,Fri,16628170,3277,394,653,59,459,10053,100793,330406,780556,13311122,2982,
The Secret Life of Pets,Universal,Family,PG,7/8/2016,1,Fri,104352905,NA,NA,NA,NA,NA,NA,633572,391905,NA,NA,4370,
The Infiltrator,Broad Green Pictures,Human Interest Drama,R,7/13/2016,1,Wed,5303775,1607,190,136,15,80,2648,157104,131875,256724,10427298,1601,
Ghostbusters (2016),Sony Pictures,Zany Comedy,PG-13,7/15/2016,1,Fri,46018755,63713,6536,7667,514,5655,125126,618156,1290657,2391705,66525778,3963,
Ice Age: Collision Course,20th Century Fox,Family,PG,7/22/2016,1,Fri,21373064,5953,731,719,64,1640,9119,296052,585233,1134641,39815397,3992,
Lights Out,Warner Bros.,Horror,PG-13,7/22/2016,1,Fri,21688103,4647,1496,392,396,398,5994,291902,325830,743433,23393580,2818,
Star Trek Beyond,Paramount,Action Adventure,PG-13,7/22/2016,1,Fri,59253211,55034,5632,4546,338,2517,82423,339741,1142190,2108128,49583396,3928,
Nerve,Lionsgate Films,Suspense/Thriller,PG-13,7/27/2016,1,Wed,9445456,8752,1244,589,367,1554,12384,76101,216912,480296,31529777,2538,
Bad Moms,STX Entertainment,Human Interest Comedy,R,7/29/2016,1,Fri,23817340,4762,999,1216,132,825,12864,574725,242105,512768,45531218,3215,
Jason Bourne,Universal,Action Drama,PG-13,7/29/2016,1,Fri,59215365,27186,2818,1075,169,729,34826,396439,880571,1719923,43775704,4026,
Nine Lives (2016),EuropaCorp USA,Family,PG,8/5/2016,1,Fri,6249915,1867,121,192,33,2337,4660,18423,129866,236024,3066414,2264,
Suicide Squad,Warner Bros.,Action Adventure,PG-13,8/5/2016,1,Fri,133682248,184774,25792,7908,3764,38890,416612,603066,3554537,7637809,343697933,4255,
Florence Foster Jenkins,Paramount,Human Interest Drama,PG-13,8/12/2016,1,Fri,6601313,1986,174,365,21,423,2443,48507,229042,492615,4379467,1528,
Pete's Dragon (2016),Disney,Family,PG,8/12/2016,1,Fri,21514095,5287,667,241,42,668,10458,184401,269285,474795,15169081,3702,
Sausage Party,Sony Pictures,Zany Comedy,R,8/12/2016,1,Fri,34263534,10659,2209,1880,424,836,20782,773279,725777,1538795,53350420,3103,
Ben-Hur (2016),Paramount,Action Drama,PG-13,8/19/2016,1,Fri,11203815,4165,457,312,33,431,4867,190290,489913,950050,23769146,3084,
Kubo and the Two Strings,Focus Features,Family,PG,8/19/2016,1,Fri,12608372,5440,872,468,62,677,8869,65556,261625,493295,23582752,3260,
War Dogs (2016),Warner Bros.,Human Interest Comedy,R,8/19/2016,1,Fri,14685305,2912,458,275,46,884,8857,87113,498489,1166626,30650845,3258,
Don't Breathe,Sony Pictures,Horror,R,8/26/2016,1,Fri,26411706,5088,1657,216,376,1000,8939,314358,305946,749045,23818766,3051,
Hands of Stone,The Weinstein Company,Human Interest Drama,R,8/26/2016,1,Fri,1751388,2402,262,180,41,413,5820,93903,176461,406121,8054023,810,
Mechanic: Resurrection,Lionsgate Films,Action Drama,R,8/26/2016,1,Fri,7456525,3140,140,118,1,242,2920,191009,267172,479458,16196527,2258,
Southside with You,Roadside Attractions,Romantic Drama,PG-13,8/26/2016,1,Fri,2868403,NA,NA,NA,NA,NA,NA,81294,57219,NA,NA,813,
Morgan,20th Century Fox,Suspense/Thriller,R,9/2/2016,1,Fri,2012709,NA,NA,NA,NA,NA,NA,32088,234391,NA,NA,2020,Labor Day
The Light Between Oceans,Disney,Human Interest Drama,PG-13,9/2/2016,1,Fri,4765838,2406,245,172,23,152,3344,53104,271481,595294,1971809,1500,Labor Day
Sully,Warner Bros.,Human Interest Drama,PG-13,9/9/2016,1,Fri,35028301,7021,1006,704,63,621,8398,137122,530350,1212934,17382294,3525,
The Disappointments Room,Relativity Media,Suspense/Thriller,R,9/9/2016,1,Fri,1402823,494,44,44,7,11,673,56737,110927,304998,3900010,1554,
The Wild Life (2016),Lionsgate Films,Family,PG,9/9/2016,1,Fri,3342697,1398,42,166,7,3959,5533,13241,40279,71497,1537808,2493,
When the Bough Breaks,Sony Pictures,Suspense/Thriller,PG-13,9/9/2016,1,Fri,14202323,3034,937,114,107,1096,6501,240167,101811,287722,15163882,2246,
Blair Witch,Lionsgate Films,Horror,R,9/16/2016,1,Fri,9576057,11708,1304,665,313,1463,17897,94524,271019,599723,19171501,3121,
Bridget Jones's Baby,Universal,Romantic Comedy,R,9/16/2016,1,Fri,8571785,6359,751,643,45,2195,12909,131417,303523,742405,15137032,2927,
Snowden,Open Road Films,Human Interest Drama,R,9/16/2016,1,Fri,8000058,14311,1175,671,63,1019,27408,55681,398509,710779,20250536,2443,
Storks,Warner Bros.,Family,PG,9/23/2016,1,Fri,21311407,2883,468,330,24,3318,7057,161915,227808,391649,28327687,3922,
The Magnificent Seven (2016),Sony Pictures,Action Drama,PG-13,9/23/2016,1,Fri,34703397,10513,1370,546,35,813,12569,481993,722455,1393123,39638826,3674,
Deepwater Horizon,Lionsgate Films,Action Drama,PG-13,9/30/2016,1,Fri,20223544,10158,1035,96,83,2855,25589,93899,306974,708600,12117914,3259,
Masterminds (2016),Relativity Media,Zany Comedy,PG-13,9/30/2016,1,Fri,6541205,1123,125,169,19,263,2513,99319,205723,397277,11225368,3042,
Miss Peregrine's Home for Peculiar Children,20th Century Fox,Action Adventure,PG-13,9/30/2016,1,Fri,28871140,7223,1001,334,57,1669,14756,177650,412229,786027,25756110,3522,
Queen of Katwe,Disney,Human Interest Drama,PG,9/30/2016,1,Fri,2495427,4828,631,418,22,997,17189,56770,180585,359350,3822548,1242,
Middle School: The Worst Years of My Life,Lionsgate Films,Family,PG,10/7/2016,1,Fri,6878437,451,47,52,0,115,740,24949,80214,NA,NA,2822,
The Birth of a Nation,Fox Searchlight Pictures,Human Interest Drama,R,10/7/2016,1,Fri,7004254,11680,1227,161,64,258,22323,14577,428613,862455,5269767,2105,
The Girl on the Train (2016),Universal,Suspense/Thriller,R,10/7/2016,1,Fri,24536265,16512,1910,560,97,2635,23132,73285,591347,1320702,13924250,3144,
Max Steel,Open Road Films,Action Adventure,PG-13,10/14/2016,1,Fri,2182216,993,77,48,3,133,839,656,142927,243336,22648886,2034,
The Accountant,Warner Bros.,Suspense/Thriller,R,10/14/2016,1,Fri,24710273,7343,398,101,20,275,9094,7515,381388,740474,17630243,3332,
I'm Not Ashamed,Pure Flix Entertainment,Human Interest Drama,PG-13,10/21/2016,1,Fri,927161,112,19,2,0,10,236,258957,50851,98511,886922,505,
Jack Reacher: Never Go Back,Paramount,Action Drama,PG-13,10/21/2016,1,Fri,22872490,13801,1412,488,19,344,11561,136867,371132,711511,39087033,3780,
Keeping Up with the Joneses,20th Century Fox,Human Interest Comedy,PG-13,10/21/2016,1,Fri,5461475,1370,73,91,3,1019,2396,59901,176772,320391,10266465,3022,
Ouija: Origin of Evil,Universal,Horror,PG-13,10/21/2016,1,Fri,14065500,9657,637,260,79,296,11371,137855,193144,339076,19484934,3167,
Tyler Perry's Boo! A Madea Halloween,Lionsgate Films,Zany Comedy,PG-13,10/21/2016,1,Fri,28501448,1659,391,607,43,1208,4718,452662,89620,197660,5718409,2260,
Inferno,Sony Pictures,Suspense/Thriller,PG-13,10/28/2016,1,Fri,14860425,16586,2256,352,45,1263,11159,63695,782496,NA,NA,3576,
Doctor Strange,Disney,Action Adventure,PG-13,11/4/2016,1,Fri,85058311,69901,9203,2998,346,17218,110133,269227,1578916,3178967,89982248,3882,
Hacksaw Ridge,Lionsgate Films,Action Drama,R,11/4/2016,1,Fri,15190758,4024,638,80,27,763,6006,200505,877376,1913770,11521216,2886,
Trolls,20th Century Fox,Family,PG,11/4/2016,1,Fri,46581142,15362,1884,904,30,4895,21847,199046,493100,913439,31057278,4060,
Almost Christmas,Universal,Human Interest Comedy,PG-13,11/11/2016,1,Fri,15134235,2110,360,359,11,1168,5870,213232,62617,138814,6132657,2376,
Arrival,Paramount,Action Drama,PG-13,11/11/2016,1,Fri,24074047,7689,761,145,17,343,8665,65256,673142,1235329,36216014,2317,
Shut In,EuropaCorp USA,Suspense/Thriller,PG-13,11/11/2016,1,Fri,3613567,718,122,19,5,525,1168,56881,109008,247744,1017081,2058,
Billy Lynn's Long Halftime Walk,Sony Pictures,Human Interest Drama,R,11/18/2016,1,Fri,901062,1543,77,43,16,115,3577,71895,251085,NA,NA,1176,
Bleed for This,Open Road Films,Human Interest Drama,R,11/18/2016,1,Fri,2366810,3579,230,47,6,108,3823,56787,244380,650637,5321697,1549,
Fantastic Beasts and Where to Find Them,Warner Bros.,Action Adventure,PG-13,11/18/2016,1,Fri,74403387,22903,3550,293,181,3528,78104,442072,1203314,2610334,81772944,4144,
The Edge of Seventeen,STX Entertainment,Human Interest Comedy,R,11/18/2016,1,Fri,4754215,3592,773,291,99,135,7654,57522,237036,470419,14162807,1945,
Allied,Paramount,Human Interest Drama,R,11/23/2016,1,Wed,12701743,3619,233,48,6,108,3823,66622,429625,858937,29682839,3160,Thanksgiving
Bad Santa 2,Broad Green Pictures,Human Interest Comedy,R,11/23/2016,1,Wed,6176680,4333,412,346,28,329,5955,276137,140831,308055,10852474,2920,Thanksgiving
Moana,Disney,Family,PG,11/23/2016,1,Wed,56631401,33384,5424,1371,332,1211,69799,246509,798729,1465966,84392634,3875,Thanksgiving
Rules Don't Apply,20th Century Fox,Romantic Drama,PG-13,11/23/2016,1,Wed,1589625,2220,228,285,3,239,2166,30272,187503,350728,5475017,2382,Thanksgiving
Incarnate,High Top Releasing,Horror,PG-13,12/2/2016,1,Fri,2534884,730,77,17,12,181,1090,108444,89742,169410,1181847,1737,
Miss Sloane,EuropaCorp USA,Suspense/Thriller,R,12/9/2016,1,Fri,1844972,1788,172,35,6,174,3994,20981,140295,271614,1255309,1648,
Nocturnal Animals,Focus Features,Suspense/Thriller,R,12/9/2016,1,Fri,3161381,6068,748,126,21,50,7661,73597,509504,1180548,20255791,1262,
Office Christmas Party,Paramount,Zany Comedy,R,12/9/2016,1,Fri,16890204,3554,425,456,33,153,6519,238063,231073,460987,12271962,3210,
Collateral Beauty,Warner Bros.,Human Interest Drama,PG-13,12/16/2016,1,Fri,7102085,2669,484,72,38,365,3954,134987,425888,917056,21798142,3028,
Manchester by the Sea,Roadside Attractions,Human Interest Drama,R,12/16/2016,1,Fri,4244014,NA,NA,NA,NA,NA,NA,31138,427827,NA,NA,1208,
Rogue One: A Star Wars Story,Disney,Action Adventure,PG-13,12/16/2016,1,Fri,155081681,226543,24645,11405,1150,27450,414682,308771,2278391,4925689,184115380,4157,
Assassin's Creed,20th Century Fox,Action Drama,PG-13,12/21/2016,1,Wed,10278225,21119,1768,683,110,1232,26653,96116,570175,1060415,66393355,2970,Christmas
Passengers (2016),Sony Pictures,Action Drama,PG-13,12/21/2016,1,Wed,14869736,8549,987,307,43,513,12880,53484,955434,1918435,63447833,3478,Christmas
Sing (2016),Universal,Family,PG,12/21/2016,1,Wed,35258145,8900,1207,446,30,3867,23181,155143,564313,1162678,196925479,4022,Christmas
Why Him?,20th Century Fox,Human Interest Comedy,R,12/23/2016,1,Fri,11002986,4279,408,449,32,406,3732,104533,221055,447456,21661676,2917,Christmas
Fences,Paramount,Human Interest Drama,PG-13,12/25/2016,1,Sun,11613765,4794,1079,114,112,190,9998,82337,290176,NA,NA,2233,Christmas
La La Land,Lionsgate Films,Romantic Drama,PG-13,12/25/2016,1,Sun,9242782,14932,2295,385,164,694,22296,55014,729597,1359705,20069726,734,Christmas
A Monster Calls,Focus Features,Human Interest Drama,PG-13,1/6/2017,1,Fri,2080051,3630,429,68,14,218,4412,49399,277603,NA,NA,1523,
Hidden Figures,20th Century Fox,Human Interest Drama,PG,1/6/2017,1,Fri,22800057,17050,3602,314,139,450,40633,571570,492974,1115678,10652171,2471,
Underworld: Blood Wars,Sony Pictures,Horror,R,1/6/2017,1,Fri,13688751,10381,1080,385,45,1554,8517,451346,604019,1339502,36386721,3070,
Live by Night,Warner Bros.,Suspense/Thriller,R,1/13/2017,1,Fri,5106046,2897,308,70,8,159,4024,24441,393352,842846,13891569,2822,Martin Luther King Jr. Day
Monster Trucks,Paramount,Family,PG,1/13/2017,1,Fri,10950705,2442,220,110,10,98,3198,33261,201075,383480,17197086,3119,Martin Luther King Jr. Day
Patriots Day,Lionsgate Films,Human Interest Drama,R,1/13/2017,1,Fri,11613765,1947,373,28,21,29,3898,168640,298514,594625,15528061,3120,Martin Luther King Jr. Day
Silence (2016),Paramount,Human Interest Drama,R,1/13/2017,1,Fri,1984530,4074,275,89,2,112,4886,40842,771804,1458113,8622431,747,Martin Luther King Jr. Day
Sleepless,Open Road Films,Action Drama,R,1/13/2017,1,Fri,8344128,1654,343,45,24,313,2699,54920,87651,189586,8611502,1803,Martin Luther King Jr. Day
The Bye Bye Man,STX Entertainment,Horror,PG-13,1/13/2017,1,Fri,13501349,5941,975,400,211,81,5841,308494,154890,375601,18283272,2220,Martin Luther King Jr. Day
The Founder,The Weinstein Company,Human Interest Drama,PG-13,1/19/2017,1,Thu,3404102,819,85,10,2,142,1085,4460,250767,516736,5179489,1115,
20th Century Women,A24 Films,Human Interest Drama,R,1/20/2017,1,Fri,1385337,2334,146,114,3,94,3080,80850,138450,226131,5092201,650,
Split (2017),Universal,Suspense/Thriller,PG-13,1/20/2017,1,Fri,40010975,6791,1730,322,147,142,8227,322374,772268,1983016,36273522,3038,
The Resurrection of Gavin Stone,OTL Releasing,Human Interest Drama,PG,1/20/2017,1,Fri,1206771,712,150,91,9,164,1726,270495,72723,NA,NA,890,
xXx: Return of Xander Cage,Paramount,Action Adventure,PG-13,1/20/2017,1,Fri,20130142,11014,883,293,37,236,14528,340321,895203,3347897,61729116,3651,
A Dog's Purpose,Universal,Family,PG,1/27/2017,1,Fri,18222810,13690,1413,1264,255,2063,36777,17595,256630,549662,13847873,3058,
Gold (2017),The Weinstein Company,Human Interest Drama,R,1/27/2017,1,Fri,3471316,2128,164,35,9,32,1891,7204,301496,614301,5756155,2166,
Resident Evil: The Final Chapter,Sony Pictures,Action Drama,R,1/27/2017,1,Fri,13601682,13213,973,602,95,1531,11422,431909,597654,1243989,46513913,3104,
Rings,Paramount,Horror,PG-13,2/3/2017,1,Fri,13002632,6006,634,287,34,442,11156,1373026,461132,1088667,42847473,2931,
The Comedian (2017),Sony Pictures Classics,Human Interest Comedy,R,2/3/2017,1,Fri,878164,NA,NA,NA,NA,NA,NA,5424,NA,NA,NA,848,
The Space Between Us,STX Entertainment,Romantic Drama,PG-13,2/3/2017,1,Fri,3775596,4816,665,124,69,991,8503,184001,303687,622214,14598978,2812,
Fifty Shades Darker,Universal,Romantic Drama,R,2/10/2017,1,Fri,46607250,67323,10270,3847,1512,7252,164929,1326271,526328,1256657,161255592,3710,
John Wick: Chapter 2,Lionsgate Films,Action Drama,R,2/10/2017,1,Fri,30436123,22572,2773,1173,133,2592,31055,256374,461238,931825,42881236,3113,
The LEGO Batman Movie,Warner Bros.,Family,PG,2/10/2017,1,Fri,53003468,35306,4474,2743,149,2896,33830,171322,468285,897363,73120731,4088,
A Cure for Wellness,20th Century Fox,Suspense/Thriller,R,2/17/2017,1,Fri,4356941,10564,516,52,44,280,11948,38228,434641,1048691,30067990,2704,President's Day
Fist Fight,Warner Bros.,Human Interest Comedy,R,2/17/2017,1,Fri,12201873,3378,390,428,18,317,4163,68284,144248,308839,20030137,3185,President's Day
The Great Wall,Universal,Action Adventure,PG-13,2/17/2017,1,Fri,18469620,11050,1155,518,58,184,8822,57686,802942,1825218,38773546,3326,President's Day
Collide,Open Road Films,Action Drama,PG-13,2/24/2017,1,Fri,1512824,727,59,25,1,76,806,275,119255,218509,3764134,2045,
Get Out,Universal,Horror,R,2/24/2017,1,Fri,33377060,2145,545,193,19,155,5659,79376,691344,1984304,8693949,2781,
Rock Dog,Lionsgate Films,Family,PG,2/24/2017,1,Fri,3704749,555,83,15,2,1288,1899,13219,77550,137993,5170138,2077,
Before I Fall,Open Road Films,Human Interest Drama,PG-13,3/3/2017,1,Fri,4690214,2728,652,66,47,1162,5339,10186,119771,268009,9552874,2346,
Logan,20th Century Fox,Action Drama,R,3/3/2017,1,Fri,88411916,85249,6375,3426,355,2236,125695,555090,2033747,4441208,148719213,4071,
The Shack,Lionsgate Films,Human Interest Drama,PG-13,3/3/2017,1,Fri,16172119,4453,519,90,15,555,5468,555761,135832,323747,11375768,2888,
Kong: Skull Island,Warner Bros.,Action Adventure,PG-13,3/10/2017,1,Fri,61025472,15807,1895,497,85,1069,31199,197176,865625,1787784,121262411,3846,
Beauty and the Beast (2017),Disney,Family,PG,3/17/2017,1,Fri,174750616,48342,7715,547,81,3138,107616,1265087,1434392,2932658,187778594,4210,
The Belko Experiment,OTL Releasing,Horror,R,3/17/2017,1,Fri,4137230,2010,380,77,37,289,3354,88609,248038,621911,12903508,1341,
CHiPs (2017),Warner Bros.,Action Comedy,R,3/24/2017,1,Fri,7722802,2169,231,308,4,323,2679,88211,178242,361165,13635122,2464,
Life (2017),Sony Pictures,Suspense/Thriller,R,3/24/2017,1,Fri,12501936,4478,188,315,4,427,9072,34805,571233,1238955,56951870,3146,
Power Rangers,Lionsgate Films,Family,PG-13,3/24/2017,1,Fri,40300288,31437,5085,1305,200,5491,58297,142068,1119055,2299453,111304072,3693,
Ghost in the Shell (2017),Paramount,Action Drama,PG-13,3/31/2017,1,Fri,18676033,31862,2006,817,84,580,61951,122320,1022501,1879513,135965733,3440,
The Boss Baby,20th Century Fox,Family,PG,3/31/2017,1,Fri,50198902,8389,748,834,43,575,7897,238301,360425,759381,212647533,3773,
Gifted (2017),Fox Searchlight Pictures,Human Interest Drama,PG-13,4/12/2017,1,Wed,3079308,2775,295,97,7,720,4973,89168,211207,420508,12448614,1146,
Going in Style (2017),Warner Bros.,Human Interest Comedy,PG-13,4/7/2017,1,Fri,11932330,1785,204,233,2,565,2271,129794,128917,255508,10362237,3061,
Smurfs: The Lost Village,Sony Pictures,Family,PG,4/7/2017,1,Fri,13210449,3475,375,259,14,1347,8359,91783,230858,446731,41221381,3610,
The Case for Christ,Pure Flix Entertainment,Human Interest Drama,PG,4/7/2017,1,Fri,3967885,1584,213,17,8,129,3169,30380,34099,76623,362984,1174,
The Fate of the Furious,Universal,Action Adventure,PG-13,4/14/2017,1,Fri,98786705,28810,3182,1031,85,12260,61739,643196,1291552,3246643,184058562,4310,
Phoenix Forgotten,Cinelou Films,Horror,PG-13,4/21/2017,1,Fri,1816499,466,78,13,3,45,626,130212,17796,49439,9398529,1633,
The Promise (2017),Open Road Films,Romantic Drama,PG-13,4/21/2017,1,Fri,4095718,3260,309,66,3,264,3678,137731,180920,429904,10733523,2251,
Unforgettable (2017),Warner Bros.,Suspense/Thriller,R,4/21/2017,1,Fri,4785431,586,108,22,3,1000,2103,153880,118381,274953,10093369,2417,
How to be a Latin Lover,Lionsgate Films,Human Interest Comedy,PG-13,4/28/2017,1,Fri,12252439,445,34,66,1,61,768,121953,61304,130208,8283264,1118,
The Circle (2017),STX Entertainment,Suspense/Thriller,PG-13,4/28/2017,1,Fri,9034148,5388,387,257,22,1063,9637,50052,519327,1014721,20385763,3163,
Guardians of the Galaxy Vol. 2,Disney,Action Adventure,PG-13,5/5/2017,1,Fri,146510104,93114,10079,4739,297,13260,154510,323877,1761102,3779640,245668584,4347,
King Arthur: Legend of the Sword,Warner Bros.,Action Adventure,PG-13,5/12/2017,1,Fri,15371270,5633,640,164,11,789,6820,159071,512245,966029,56931589,3702,
