MOVIE,OBO,UA_T,TA_T,DI_T,FC_T,Year,Genre,Studio
INTO THE STORM,17346427,4,49,37,4,2014,SUSPNS/THRILLER,BB
THE EXPENDABLES 3,15879645,8,78,40,7,2014,ACTION,CC
IF I STAY,15679190,7,45,33,3,2014,HUMN INTST DRMA,CC
GET ON UP,13585915,1,46,31,5,2014,HUMN INTST DRMA,CC
THE GIVER,12305016,3,53,38,4,2014,DRAMA,CC
THE HUNDRED-FOOT JOURNEY,10979290,1,35,28,2,2014,DRAMA,CC
"AS ABOVE, SO BELOW",10284110,3,28,26,1,2014,HORROR,CC
THE NOVEMBER MAN,10105877,4,38,29,1,2014,ACTION,CC
WHEN THE GAME STANDS TALL,8381509,0,31,30,1,2014,HUMN INTST DRMA,CC
STEP UP ALL IN,6469857,2,51,23,2,2014,HUMN INTST DRMA,CC
SIN CITY: A DAME TO KILL FOR,6317683,5,58,38,3,2014,ACTION DRAMA,CC
BOYHOOD,1992448,4,29,32,2,2014,HUMN INTST DRMA,CC
MAGIC IN THE MOONLIGHT,1786150,1,26,26,1,2014,HUMN INTST CMDY,CC
THE EQUALIZER,34137828,8,64,47,13,2014,THRILLER,CC
THE MAZE RUNNER,32512804,11,65,48,14,2014,THRILLER,CC
NO GOOD DEED (2014),24250283,4,46,36,5,2014,SUSPNS/THRILLER,CC
THE BOXTROLLS,17275239,8,58,37,5,2014,ANIMATION,CC
DOLPHIN TALE 2,15873397,9,65,33,4,2014,FAMILY,CC
A WALK AMONG THE TOMBSTONES,12758780,4,50,42,6,2014,DRAMA,CC
THIS IS WHERE I LEAVE YOU,11558149,5,50,35,6,2014,HUMN INTST CMDY,CC
THE IDENTICAL,1587137,0,29,28,2,2014,DRAMA,CC
GONE GIRL,37513109,9,60,37,7,2014,SUSPNS/THRILLER,CC
ANNABELLE,37134255,7,42,36,4,2014,HORROR,CC
FURY,23702421,7,60,39,4,2014,ACTION DRAMA,CC
DRACULA UNTOLD,23514615,7,55,43,5,2014,ACTION DRAMA,CC
OUIJA (2014),19875995,7,52,38,2,2014,HORROR,CC
"ALEXANDER AND THE TERRIBLE, HORRIBLE, NO GOOD, VERY BAD DAY",18360230,6,67,34,3,2014,FAMILY,CC
JOHN WICK,14415922,1,39,37,2,2014,ACTION DRAMA,CC
THE JUDGE,13116226,4,59,35,4,2014,DRAMA,CC
NIGHTCRAWLER,10441000,4,46,34,2,2014,SUSPNS/THRILLER,CC
THE BEST OF ME,10003827,5,42,29,2,2014,ROMANCE,CC
ADDICTED (2014),7485346,2,36,34,4,2014,HUMN INTST DRMA,CC
LEFT BEHIND,6300147,0,54,34,5,2014,HUMN INTST DRMA,CC
BEFORE I GO TO SLEEP,1843347,1,37,28,1,2014,SUSPNS/THRILLER,CC
THE HUNGER GAMES: MOCKINGJAY PART 1,121897634,22,95,69,23,2014,ACTION ADVENTURE,CC
BIG HERO 6,56215889,13,59,52,6,2014,FAMILY,CC
INTERSTELLAR,47510360,8,60,47,8,2014,ACTION DRAMA,CC
DUMB AND DUMBER TO,36111775,13,89,43,9,2014,ZANY COMEDY,CC
PENGUINS OF MADAGASCAR,25447444,8,84,38,4,2014,FAMILY,CC
HORRIBLE BOSSES 2,15457418,9,77,42,7,2014,HUMN INTST CMDY,CC
BEYOND THE LIGHTS,6200284,2,32,30,2,2014,HUMN INTST DRMA,CC
INTO THE WOODS,31051923,11,68,42,5,2014,HUMN INTST DRMA,CC
UNBROKEN,30621445,6,50,33,3,2014,HUMN INTST DRMA,CC
EXODUS: GODS AND KINGS,24115934,7,62,40,8,2014,ACTION DRAMA,CC
NIGHT AT THE MUSEUM: SECRET OF THE TOMB,17100520,11,88,46,6,2014,FAMILY,CC
ANNIE (2014),15861939,12,79,30,5,2014,FAMILY,CC
THE GAMBLER (II),9127022,4,52,31,4,2014,DRAMA,CC
TOP FIVE,6894814,4,40,38,4,2014,HUMN INTST CMDY,CC
THE INTERVIEW (2014),1794666,6,66,44,5,2014,COMEDY,CC
A WALK IN THE WOODS,10908832,2,41,29,2,2015,COMEDY,CC
ALOHA,9670235,8,43,31,3,2015,ROMANTIC COMEDY,CC
ALVIN AND THE CHIPMUNKS: THE ROAD CHIP,14287159,9,71,34,3,2015,FAMILY,CC
AMERICAN SNIPER,107211457,13,69,50,8,2015,ACTION DRAMA,CC
AMERICAN ULTRA,5454284,1,32,30,1,2015,ACTION COMEDY,CC
ANT-MAN,57225526,17,79,43,8,2015,ACTION ADVENTURE,CC
AVENGERS: AGE OF ULTRON,191271109,25,87,69,29,2015,ACTION ADVENTURE,CC
BLACK MASS,22635037,6,50,44,7,2015,SUSPNS/THRILLER,CC
BLACK OR WHITE,6213362,3,42,30,1,2015,HUMN INTST DRMA,CC
BLACKHAT,4491010,3,30,31,2,2015,SUSPNS/THRILLER,CC
BRIDGE OF SPIES,15371203,4,48,41,2,2015,HUMN INTST DRMA,CC
BURNT,5002521,4,43,29,1,2015,HUMN INTST DRMA,CC
CAPTIVE (2015),1393243,1,33,33,1,2015,SUSPNS/THRILLER,CC
CHAPPIE,13346782,3,50,35,4,2015,ACTION DRAMA,CC
CINDERELLA (2015),67877361,19,82,43,9,2015,FAMILY,CC
CONCUSSION (2015),10513749,6,61,36,2,2015,HUMN INTST DRMA,CC
CREED,29632823,11,63,37,6,2015,HUMN INTST DRMA,CC
CRIMSON PEAK,13143310,5,41,33,3,2015,HORROR,CC
DADDY'S HOME (2015),38740203,11,61,43,3,2015,HUMN INTST CMDY,CC
DISNEY'S TOMORROWLAND,42679200,14,66,36,5,2015,FAMILY,CC
DO YOU BELIEVE?,3591282,0,28,26,1,2015,HUMN INTST DRMA,CC
DOPE,6100010,4,30,31,1,2015,HUMN INTST CMDY,CC
ENTOURAGE,10283250,5,55,24,2,2015,HUMN INTST CMDY,CC
EVEREST (2015),13242895,7,60,33,5,2015,ACTION DRAMA,CC
FANTASTIC FOUR (2015),25685737,17,91,45,5,2015,ACTION ADVENTURE,CC
FIFTY SHADES OF GREY,93010350,11,93,29,7,2015,ROMANTIC DRAMA,CC
FOCUS (2015),18685137,6,58,40,5,2015,HUMN INTST CMDY,CC
FURIOUS 7,147187040,18,95,58,22,2015,ACTION ADVENTURE,CC
GET HARD,33803253,12,64,47,7,2015,HUMN INTST CMDY,CC
GOOSEBUMPS,23618556,11,70,39,3,2015,FAMILY,CC
HITMAN: AGENT 47,8326530,3,53,39,3,2015,ACTION DRAMA,CC
HOME (2015),52107731,15,52,46,4,2015,FAMILY,CC
HOT PURSUIT (2015),13942258,6,62,34,5,2015,ACTION COMEDY,CC
HOT TUB TIME MACHINE 2,5963324,6,70,35,5,2015,ZANY COMEDY,CC
HOTEL TRANSYLVANIA 2,48464322,16,81,46,9,2015,FAMILY,CC
IN THE HEART OF THE SEA,11053366,5,54,34,4,2015,ACTION DRAMA,CC
INSIDE OUT (2015),90440272,21,65,48,5,2015,FAMILY,CC
INSIDIOUS: CHAPTER 3,22692741,12,69,38,6,2015,HORROR,CC
JEM AND THE HOLOGRAMS,1375320,2,40,20,1,2015,HUMN INTST DRMA,CC
JOY,17015168,8,57,33,4,2015,HUMN INTST DRMA,CC
JUPITER ASCENDING,18372372,7,58,39,7,2015,ACTION DRAMA,CC
JURASSIC WORLD,208806270,24,93,61,17,2015,ACTION ADVENTURE,CC
KINGSMAN: THE SECRET SERVICE,41761512,4,59,43,6,2015,ACTION ADVENTURE,CC
KRAMPUS,16293325,11,48,37,4,2015,HORROR,CC
LOVE THE COOPERS,8317545,1,40,30,2,2015,HUMN INTST CMDY,CC
MAD MAX: FURY ROAD,45428128,12,67,39,7,2015,ACTION ADVENTURE,CC
MAGIC MIKE XXL,12857184,5,71,26,4,2015,HUMN INTST DRMA,CC
MAX (2015),12155254,8,39,32,1,2015,FAMILY,CC
"MCFARLAND, USA",11020798,3,38,31,2,2015,HUMN INTST DRMA,CC
MINIONS,115718405,23,91,53,6,2015,FAMILY,CC
MISSION: IMPOSSIBLE - ROGUE NATION,55520089,10,77,44,5,2015,ACTION DRAMA,CC
MONKEY KINGDOM,4577861,1,39,32,2,2015,DOCUMENTARY,CC
MORTDECAI,4200586,4,47,29,1,2015,ZANY COMEDY,CC
MY ALL AMERICAN,1365000,0,27,31,1,2015,HUMN INTST DRMA,CC
NO ESCAPE (2015),8111264,1,40,30,2,2015,SUSPNS/THRILLER,CC
OUR BRAND IS CRISIS (2015),3238433,4,37,31,1,2015,HUMN INTST CMDY,CC
PADDINGTON,25494139,7,48,25,1,2015,FAMILY,CC
PAN,15315435,14,68,40,3,2015,FAMILY,CC
PAPER TOWNS,12650140,8,46,39,3,2015,ROMANTIC DRAMA,CC
PARANORMAL ACTIVITY: THE GHOST DIMENSION,8070493,4,67,37,6,2015,HORROR,CC
PAUL BLART: MALL COP 2,23762435,9,84,41,6,2015,ZANY COMEDY,CC
PITCH PERFECT 2,69216890,17,80,45,9,2015,HUMN INTST CMDY,CC
PIXELS,24011616,10,72,40,3,2015,ACTION COMEDY,CC
POINT BREAK (2015),9800252,7,58,32,2,2015,ACTION DRAMA,CC
POLTERGEIST (2015),26341432,6,67,37,5,2015,HORROR,CC
PROJECT ALMANAC,8310252,0,29,36,2,2015,SUSPNS/THRILLER,CC
RICKI AND THE FLASH,6610961,2,35,23,2,2015,HUMN INTST DRMA,CC
ROCK THE KASBAH,1470592,1,36,27,2,2015,HUMN INTST CMDY,CC
RUN ALL NIGHT,11012305,4,47,40,5,2015,SUSPNS/THRILLER,CC
SAN ANDREAS,54588173,12,64,42,8,2015,ACTION ADVENTURE,CC
SCOUTS GUIDE TO THE ZOMBIE APOCALYPSE,1841007,4,39,37,2,2015,ZANY COMEDY,CC
SECRET IN THEIR EYES,6652996,2,40,34,2,2015,SUSPNS/THRILLER,CC
SELF/LESS,5403460,3,44,28,2,2015,SUSPNS/THRILLER,CC
SELMA,11307394,5,41,32,3,2015,HUMN INTST DRMA,CC
SEVENTH SON,7217640,2,41,29,1,2015,ACTION ADVENTURE,CC
SHAUN THE SHEEP MOVIE,4038962,2,41,23,1,2015,FAMILY,CC
SICARIO,12148041,3,35,39,1,2015,ACTION DRAMA,CC
SINISTER 2,10542116,6,51,35,3,2015,HORROR,CC
SISTERS (2015),13922855,8,60,37,3,2015,HUMN INTST CMDY,CC
SOUTHPAW,16701294,3,44,28,2,2015,HUMN INTST DRMA,CC
SPECTRE,70403148,16,61,52,10,2015,ACTION ADVENTURE,CC
SPY,29085719,12,62,37,3,2015,ACTION COMEDY,CC
STAR WARS: THE FORCE AWAKENS,247966675,36,92,65,22,2015,ACTION ADVENTURE,CC
STEVE JOBS,7105735,5,82,29,6,2015,HUMN INTST DRMA,CC
STRAIGHT OUTTA COMPTON,60200180,8,55,38,6,2015,HUMN INTST DRMA,CC
STRANGE MAGIC,5504441,2,35,40,1,2015,FAMILY,CC
TAKEN 3,39201657,10,78,50,8,2015,SUSPNS/THRILLER,CC
TED 2,33507870,17,90,44,5,2015,ZANY COMEDY,CC
TERMINATOR: GENISYS,27018486,13,74,46,6,2015,ACTION DRAMA,CC
THE 33,5787266,0,37,35,2,2015,DRAMA,CC
THE AGE OF ADALINE,13203458,6,47,34,5,2015,DRAMA,CC
THE BIG SHORT,10531026,3,46,32,2,2015,DRAMA,CC
THE BOY NEXT DOOR,14910105,4,47,35,3,2015,THRILLER,CC
THE DIVERGENT SERIES: INSURGENT,52263680,14,78,55,11,2015,ACTION ADVENTURE,CC
THE DUFF,10809149,5,35,30,2,2015,COMEDY,CC
THE GALLOWS,9808463,3,28,21,1,2015,HORROR,CC
THE GIFT (2015),11854273,1,40,28,1,2015,THRILLER,CC
THE GOOD DINOSAUR,39155217,16,70,45,5,2015,ANIMATION,CC
THE GREEN INFERNO,3520626,3,32,33,1,2015,HORROR,CC
THE GUNMAN,5028702,3,43,39,2,2015,THRILLER,CC
THE HUNGER GAMES: MOCKINGJAY PART 2,102665981,24,94,66,19,2015,ACTION ADVENTURE,CC
THE INTERN,17728313,8,75,33,8,2015,COMEDY,CC
THE LAST WITCH HUNTER,10812861,5,56,37,4,2015,ACTION,CC
THE LAZARUS EFFECT,10203437,4,46,29,2,2015,HORROR,CC
THE LOFT,2747342,2,28,22,0,2015,THRILLER,CC
THE LONGEST RIDE,13019686,5,51,35,3,2015,ROMANCE,CC
